[16-12-21 22:26:42][TIP]连接数据库成功
[16-12-21 22:26:42][TIP]正在启动本地日志服务……
[16-12-21 22:26:42][TIP]启动本地日志服务成功!
[16-12-21 22:39:44][TIP]接受客户端连接!
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160307`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160308`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160309`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160310`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160311`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160312`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160313`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160314`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160315`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160316`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160317`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160318`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160319`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160320`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160321`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160322`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160323`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160324`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160325`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160326`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160327`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160328`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160329`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160330`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160400`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160401`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160402`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160403`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160404`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160405`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160406`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160407`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160408`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160409`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160410`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160411`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160412`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160413`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160414`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160415`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160416`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160417`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160418`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160419`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160420`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160421`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160422`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160423`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160424`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160425`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160426`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160427`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160428`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160429`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160430`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160500`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160501`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160502`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160503`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160504`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160505`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160506`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160507`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160508`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160509`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160510`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160511`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160512`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160513`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160514`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160515`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160516`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160517`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160518`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160519`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160520`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160521`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160522`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160523`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160524`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160525`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160526`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160527`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160528`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160529`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160530`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160600`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160601`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160602`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160603`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160604`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160605`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160606`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160607`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160608`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160609`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160610`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160611`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160612`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160613`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160614`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160615`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160616`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160617`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160618`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160619`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160620`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160621`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160622`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160623`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160624`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160625`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160626`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160627`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160628`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160629`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160630`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160700`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160701`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160702`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160703`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160704`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160705`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160706`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160707`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160708`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160709`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160710`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160711`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160712`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160713`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160714`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160715`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160716`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160717`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160718`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160719`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160720`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160721`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160722`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160723`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160724`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160725`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160726`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160727`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160728`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160729`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160730`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160800`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160801`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160802`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160803`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160804`
